invno,invdate,amount,tbl_customer_idtbl_customer,customer,,,,,,,,,
4591,5/3/2023,80520,366,LISHAN CYCLE PALACE,,,,,,,,,
4619,5/16/2023,52425,366,LISHAN CYCLE PALACE,,,,,,,,,
5656,12/19/2023,81450,366,LISHAN CYCLE PALACE,,,,,,,,,
4278,1/17/2023,171690,367,LASHWIN ELECTRICALS ,,,,,,,,,
4323,2/2/2023,61657.5,367,LASHWIN ELECTRICALS ,,,,,,,,,
4345,2/9/2023,5625,367,LASHWIN ELECTRICALS ,,,,,,,,,
4482,3/23/2023,231180,210,MULITY HARDWARE,,,,,,,,,
5241,9/26/2023,86910,381,OMEK LIGHTING & POWER SOLUTIONS,,,,,,,,,
5513,11/15/2023,34950,381,OMEK LIGHTING & POWER SOLUTIONS,,,,,,,,,
4759,6/21/2023,10440,210,MULITY HARDWARE,,,,,,,,,
4501,3/28/2023,152332.5,382,TOYO ELECTRICALS,,,,,,,,,
4593,5/4/2023,81750,382,TOYO ELECTRICALS,,,,,,,,,
4643,5/23/2023,42885,382,TOYO ELECTRICALS,,,,,,,,,
4654,5/29/2023,13005,382,TOYO ELECTRICALS,,,,,,,,,
4677,6/1/2023,34950,382,TOYO ELECTRICALS,,,,,,,,,
4690,6/5/2023,74130,382,TOYO ELECTRICALS,,,,,,,,,
4739,6/19/2023,48150,382,TOYO ELECTRICALS,,,,,,,,,
4815,7/6/2023,51487.5,382,TOYO ELECTRICALS,,,,,,,,,
4881,7/17/2023,53400,382,TOYO ELECTRICALS,,,,,,,,,
4918,7/25/2023,33487.5,382,TOYO ELECTRICALS,,,,,,,,,
4927,7/25/2023,67950,382,TOYO ELECTRICALS,,,,,,,,,
4936,7/26/2023,13950,382,TOYO ELECTRICALS,,,,,,,,,
4978,8/3/2023,32100,382,TOYO ELECTRICALS,,,,,,,,,
5012,8/11/2023,1747.5,382,TOYO ELECTRICALS,,,,,,,,,
5020,8/14/2023,53587.5,382,TOYO ELECTRICALS,,,,,,,,,
5083,8/25/2023,57135,382,TOYO ELECTRICALS,,,,,,,,,
5168,9/12/2023,16200,382,TOYO ELECTRICALS,,,,,,,,,
5240,9/26/2023,87360,382,TOYO ELECTRICALS,,,,,,,,,
5337,10/10/2023,154897.5,382,TOYO ELECTRICALS,,,,,,,,,
5372,10/17/2023,65527.5,382,TOYO ELECTRICALS,,,,,,,,,
5431,10/30/2023,66750,382,TOYO ELECTRICALS,,,,,,,,,
5507,11/15/2023,22440,382,TOYO ELECTRICALS,,,,,,,,,
5705,12/28/2023,66825,382,TOYO ELECTRICALS,,,,,,,,,
4621,5/16/2023,16050,383,K.MARK  ELECTRICALS,,,,,,,,,
4779,6/27/2023,80512.5,383,K.MARK  ELECTRICALS,,,,,,,,,
4828,7/10/2023,98040,383,K.MARK  ELECTRICALS,,,,,,,,,
4845,7/11/2023,100387.5,383,K.MARK  ELECTRICALS,,,,,,,,,
4892,7/19/2023,15937.5,383,K.MARK  ELECTRICALS,,,,,,,,,
4903,7/21/2023,17887.5,383,K.MARK  ELECTRICALS,,,,,,,,,
4935,7/26/2023,135690,383,K.MARK  ELECTRICALS,,,,,,,,,
5342,10/11/2023,24975,383,K.MARK  ELECTRICALS,,,,,,,,,
5395,10/20/2023,30435,383,K.MARK  ELECTRICALS,,,,,,,,,
5427,10/27/2023,159570,383,K.MARK  ELECTRICALS,,,,,,,,,
5644,12/18/2023,93105,383,K.MARK  ELECTRICALS,,,,,,,,,
4695,6/6/2023,767190,83,NEW CENTRAL HARDWARE,,,,,,,,,
4696,6/6/2023,24000,83,NEW CENTRAL HARDWARE,,,,,,,,,
4711,6/12/2023,40680,83,NEW CENTRAL HARDWARE,,,,,,,,,
4723,6/15/2023,63225,83,NEW CENTRAL HARDWARE,,,,,,,,,
5362,10/16/2023,132210,83,NEW CENTRAL HARDWARE,,,,,,,,,
4997,8/9/2023,150112.5,384,NEW UNION HARDWARE,,,,,,,,,
4999,8/9/2023,24000,384,NEW UNION HARDWARE,,,,,,,,,
5089,8/28/2023,176475,384,NEW UNION HARDWARE,,,,,,,,,
5159,9/11/2023,198555,384,NEW UNION HARDWARE,,,,,,,,,
5230,9/25/2023,216255,384,NEW UNION HARDWARE,,,,,,,,,
5235,9/25/2023,11580,384,NEW UNION HARDWARE,,,,,,,,,
5300,10/4/2023,162450,384,NEW UNION HARDWARE,,,,,,,,,
5302,10/4/2023,87375,384,NEW UNION HARDWARE,,,,,,,,,
5598,6/12/2023,183600,384,NEW UNION HARDWARE,,,,,,,,,
5330,10/9/2023,39562.5,385,GAMPOOLA ELECTRICALS,,,,,,,,,
5487,11/6/2023,6352.5,385,GAMPOOLA ELECTRICALS,,,,,,,,,
5505,11/15/2023,12555,385,GAMPOOLA ELECTRICALS,,,,,,,,,
5367,10/16/2023,488985,386,JANAKA ELECTRICALS,,,,,,,,,
5413,10/25/2023,53100,386,JANAKA ELECTRICALS,,,,,,,,,
5502,11/13/2023,233970,386,JANAKA ELECTRICALS,,,,,,,,,
5623,12/13/2023,42802.5,386,JANAKA ELECTRICALS,,,,,,,,,
5515,11/15/2023,941167.5,371,M/S. ORBIT GLASS LANKA,,,,,,,,,
5516,11/15/2023,86602.5,371,M/S. ORBIT GLASS LANKA,,,,,,,,,
5424,10/26/2023,84690,21,JAYASOMA ELECTRICALS,,,,,,,,,
5716,12/29/2023,11542.5,21,JAYASOMA ELECTRICALS,,,,,,,,,
5370,10/16/2023,112050,38,PRAMOD ELECTRICAL,,,,,,,,,
4817,7/6/2023,49275,285,NEW GOLDEN HARDWARE,,,,,,,,,
4900,7/20/2023,26212.5,33,NEW SUPPER ELECTRICALS,,,,,,,,,
4916,7/24/2023,26212.5,33,NEW SUPPER ELECTRICALS,,,,,,,,,
4996,8/8/2023,1815,33,NEW SUPPER ELECTRICALS,,,,,,,,,
5146,9/6/2023,120000,289,NUWAN ELECTRICALS,,,,,,,,,
5167,9/12/2023,34740,289,NUWAN ELECTRICALS,,,,,,,,,
5661,12/20/2023,22387.5,33,NEW SUPPER ELECTRICALS,,,,,,,,,
4405,2/28/2023,22147.5,305,GALLE ELECTRICALS HOLDINGS,,,,,,,,,
4540,4/7/2023,16050,305,GALLE ELECTRICALS HOLDINGS,,,,,,,,,
4910,7/24/2023,67500,305,GALLE ELECTRICALS HOLDINGS,,,,,,,,,
4992,8/8/2023,150930,305,GALLE ELECTRICALS HOLDINGS,,,,,,,,,
5191,9/15/2023,58050,305,GALLE ELECTRICALS HOLDINGS,,,,,,,,,
5544,11/22/2023,126435,305,GALLE ELECTRICALS HOLDINGS,,,,,,,,,
4772,6/26/2023,21742.5,387,D&D ELECTRICALS,,,,,,,,,
5612,12/11/2023,138150,305,GALLE ELECTRICALS HOLDINGS,,,,,,,,,
5652,12/18/2023,24300,34,P.C ELETRICALS,,,,,,,,,
2390,3/31/2021,164500,303,GALLE ELECTRICALS AGENCY,,,,,,,,,
3372,2/2/2022,129075,303,GALLE ELECTRICALS AGENCY,,,,,,,,,
